HMDB_ID	Secondary_HMDB_ID	Kegg_ID	metabolite	synonyms_name	Organ and components	Cell and elements	Tissue and substructures	Biofluid and excreta	Subcellular	kingdom	super_class	sub_class	class	associated_gene	Software_Predicted	BioLocation_Summary
HMDB0000149	HMDB00149	C00189	Ethanolamine	1-Amino-2-hydroxyethane; 2-Amino-1-ethanol; 2-Amino-ethanol; 2-Aminoethan-1-ol; 2-Aminoethyl alcohol; 2-Hydroxyethylamine; Aethanolamin; Aminoethanol; beta-Aminoethanol; beta-Aminoethyl alcohol; beta-Ethanolamine; beta-Hydroxyethylamine; Colamine; ETA; Glycinol; Hea; MEA; MONOETHANOLAMINE; b-Aminoethanol; Β-aminoethanol; b-Aminoethyl alcohol; Β-aminoethyl alcohol; b-Ethanolamine; Β-ethanolamine; b-Hydroxyethylamine; Β-hydroxyethylamine; 2-Aminoethanol; 2-Ethanolamine; 2-Hydroxyethanamine; Envision conditioner PDD 9020; Ethylolamine; H-Glycinol; Monoaethanolamin; Olamine; 2 Aminoethanol; Ethanolamine; Kolamin	Brain | Pancreas	Cell	Epidermis | Placenta	Urine | Saliva | Feces : Fecal - Stool - Faecal - Faeces | Blood | Breast milk | Cerebrospinal fluid : Csf	Cytoplasm : Cytoplasma | Myelin sheath : Myelin	Organic compounds	Organic nitrogen compounds	Amines	Organonitrogen compounds	PLD2; PLD1; ENPP2; ANXA3; CHKB; CHKA; ETNK1; PTDSS1; FAAH; PTDSS2; PHOSPHO1; ETNK2; PLD3; PLD4; GDE1; FAAH2	Compass	Blood | Cerebrospinal fluid
HMDB0001176	HMDB01176	C00128	Cytidine 5'-monophosphate-N-acetylneuraminic acid	CMP Acetylneuraminic acid; CMP-beta-Neu5ac; CMP-N-Acetylneuraminate; CMP-Nana; CMP-Neu5ac; CMP-NeuNAc; CMP-Sialic acid; Cytidine monophosphate N-acetylneuraminic acid; CYTIDINE-5'-monophosphATE-5-N-acetylneuraminIC ACID; Cytidine-5'-monophospho-N-acetylneuraminic acid; Cytidine-5'-monophosphono-N-acetylneuraminic acid; CMP-N-Acetyl-beta-neuraminate; CMP Acetylneuraminate; CMP-b-Neu5ac; CMP-Β-neu5ac; CMP-N-Acetylneuraminic acid; CMP-Sialate; Cytidine monophosphate N-acetylneuraminate; Cytidine monophosphoric acid N-acetylneuraminic acid; CYTIDINE-5'-monophosphate-5-N-acetylneuraminate; CYTIDINE-5'-monophosphoric acid-5-N-acetylneuraminic acid; Cytidine-5'-monophospho-N-acetylneuraminate; Cytidine-5'-monophosphono-N-acetylneuraminate; CMP-N-Acetyl-b-neuraminate; CMP-N-Acetyl-b-neuraminic acid; CMP-N-Acetyl-beta-neuraminic acid; CMP-N-Acetyl-β-neuraminate; CMP-N-Acetyl-β-neuraminic acid; Cytidine 5'-monophosphate-N-acetylneuraminate; Cytidine 5'-monophosphoric acid-N-acetylneuraminic acid; CMP-N-Acylneuraminate; Cytidine 5'-monophosphate N-acetylneuraminic acid; Acetylneuraminic acid, CMP; Acid, CMP acetylneuraminic; Acid, CMP-sialic; CMP Sialic acid; Cytidine monophosphate N acetylneuraminic acid; CMP-NeuAc; Cytidine 5'-monophosphic acid-N-acetylneuraminic acid; Cytidine 5'-monophospho-N-acetylneuraminate; Cytidine 5'-monophospho-N-acetylneuraminic acid; Cytidine 5’-monophosphate-N-acetylneuraminate; Cytidine 5’-monophosphate-N-acetylneuraminic acid; Cytidine 5’-monophosphic acid-N-acetylneuraminic acid; Cytidine 5’-monophospho-N-acetylneuraminate; Cytidine 5’-monophospho-N-acetylneuraminic acid; Cytidine monophosphic acid N-acetylneuraminic acid; Cytidine 5'-monophosphate-N-acetylneuraminic acid			Placenta		Cytoplasm : Cytoplasma | Nucleus : Cell nucleus - Nucleic | Golgi : Golgi apparatus - Golgi complex - Golgi ribbon	Organic compounds	Nucleosides, nucleotides, and analogues	Pyrimidine nucleotide sugars	Pyrimidine nucleotides	ST3GAL3; ST8SIA1; CMAS; ST3GAL5; ST3GAL6; ST3GAL1; ST3GAL4; ST6GALNAC4; ST3GAL2; ST6GALNAC1; ST6GALNAC2; ST6GALNAC3; ST6GAL1; ST6GAL2	scFEA;Compass	Other
HMDB0000258	HMDB00258	C00089	Sucrose	1-alpha-D-Glucopyranosyl-2-beta-D-fructofuranoside; beta-D-Fruf-(21)-alpha-D-GLCP; Cane sugar; Sacarosa; Saccharose; Sacharose; Table sugar; White sugar; White soft sugar; Sugar, compressible; Sugar, confectioner's; Sugar spheres; Sucrose, purified; 1-a-D-Glucopyranosyl-2-b-D-fructofuranoside; 1-Α-D-glucopyranosyl-2-β-D-fructofuranoside; b-D-Fruf-(21)-a-D-GLCP; Β-D-fruf-(21)-α-D-GLCP; (+)-Sucrose; b -D-Fructofuranosyl a-D-glucopyranoside; D-(+)-Saccharose; D-(+)-Sucrose; D-Sucrose; Saccharum; Sugar	Intestine | Testicle : Testes - Testis | Spleen | Bladder | Mouth : Buccal cavity - Oral - Oral cavity | Prostate : Prostate gland | Kidney : Kidneys	Extracellular : Extracellular region | Element | Cell	Placenta | Epidermis | Adipose tissue : Fat tissue - Body fat - Adipose | Muscle	Saliva | Feces : Fecal - Stool - Faecal - Faeces | Urine | Sweat | Blood	Myelin sheath : Myelin	Organic compounds	Organic oxygen compounds	Carbohydrates and carbohydrate conjugates	Organooxygen compounds	SI; SULT2B1; UGT1A1; GLA; GAA; MGAM; GANC	Compass	Extracellular | Blood
HMDB0001399	HMDB01399	C11907	dTDP-4-oxo-6-deoxy-D-glucose	dTDP-4-dehydro-6-deoxy-D-glucose; dTDP-4-oxo-6-deoxy-alpha-D-glucose; dTDP-6-deoxy-alpha-D-xylo-4-hexulose; dTDP-6-deoxy-alpha-D-xylo-hex-4-ulose; dTDP-4-dehydro-6-deoxy-a-D-glucose; dTDP-4-dehydro-6-deoxy-α-D-glucose; dTDP-4-oxo-6-deoxy-a-D-glucose; dTDP-4-oxo-6-deoxy-α-D-glucose; dTDP-6-deoxy-a-D-xylo-4-hexulose; dTDP-6-deoxy-α-D-xylo-4-hexulose; dTDP-6-deoxy-a-D-xylo-hex-4-ulose; dTDP-6-deoxy-α-D-xylo-hex-4-ulose; dTDP-6-deoxy-D-xylo-4-hexulose; Thymidine diphosphate-6-deoxy-xylo-4-hexulose, alpha-isomer; dTDP-DXH; Thymidine diphosphate-6-deoxy-D-xylo-4-hexulose; Thymidine diphosphate-6-deoxy-xylo-4-hexulose; dTDP-4-dehydro-6-deoxy-alpha-D-glucose; dTDP-4-dehydro-6-deoxy-alpha-D-glucopyranose; dTDP-6-deoxy-D-xylo-hexos-4-ulose; 4,6-Dideoxy-4-oxo-dTDP-D-glucose; dTDP-4-Dehydro-6-deoxy-a-D-glucopyranose; dTDP-4-dehydro-6-deoxy-α-D-glucopyranose; Deoxythymidine diphosphate 4-keto-6-deoxy-D-glucose; TDP-4-keto-6-deoxy-D-glucose; TDP-4-keto-6-deoxy-alpha-D-glucose; TDP-4-keto-6-deoxy-α-D-glucose; TDP-4-keto-6-deoxyglucose; Thymidine 5'-diphosphate 4-keto-6-deoxy-D-glucose; Thymidine 5’-diphosphate 4-keto-6-deoxy-D-glucose; dTDP-4-keto-6-deoxy-D-glucose; dTDP-4-oxo-6-deoxy-D-glucose; dTDP-6-deoxy-4-keto-alpha-D-glucose; dTDP-6-deoxy-4-keto-α-D-glucose; dTDP-6-deoxy-4-ketoglucose; dTDP-6-deoxy-alpha-D-xylo-4-hexosulose; dTDP-6-deoxy-alpha-D-xylohex-4-ulose; dTDP-6-deoxy-α-D-xylo-4-hexosulose; dTDP-6-deoxy-α-D-xylohex-4-ulose; dTDP-KDG					Cytoplasm : Cytoplasma	Organic compounds	Nucleosides, nucleotides, and analogues	Pyrimidine nucleotide sugars	Pyrimidine nucleotides	TGDS	Compass	Other
HMDB0002059	HMDB02059	C08317	12-Hydroxydodecanoic acid	12-Hydroxy lauric acid; 2-Hydroxy-dodecanoic acid; Omega-hydroxy lauric acid; Omega-hydroxydodecanoic acid; Omega-OH dodecanoic acid; Omega-OH lauric acid; 12-Hydroxy laate; 12-Hydroxy laic acid; 2-Hydroxy-dodecanoate; Omega-hydroxy laate; Omega-hydroxy laic acid; Omega-hydroxydodecanoate; Omega-OH dodecanoate; Omega-OH laate; Omega-OH laic acid; 12-Hydroxydodecanoate; 12-Hydroxylaurate; 12-Hydroxylauric acid; Omega hydroxy dodecanoate; Omega hydroxy dodecanoic acid; Omega-hydroxylauric acid; 12-Hydroxydodecanoic acid; Sabinate		Extracellular : Extracellular region			Membrane | Cell membrane : Cellular membrane	Organic compounds	Organic acids and derivatives	Medium-chain hydroxy acids and derivatives	Hydroxy acids and derivatives		Compass	Extracellular
HMDB0000157	HMDB00157	C00262	Hypoxanthine	6(1H)-Purinone; 6-Oxopurine; 9H-Purin-6(1H)-one; Hyp; Purin-6(1H)-one; Purine-6-ol; 1,7-Dihydro-6H-purin-6-one; 1,7-Dihydro-6H-purine-6-one; 1H,7H-Hypoxanthine; 3H-Purin-6-ol; 4-Hydroxy-1H-purine; 6-Hydroxy-1H-purine; 6-Hydroxypurine; 7H-Purin-6-ol; 9H-Purin-6-ol; Hypoxanthine enol; Purin-6(3H)-one; Purin-6-ol; Sarcine; Sarkin; Sarkine	Intestine | Testicle : Testes - Testis | Spleen | Liver | Prostate : Prostate gland | Kidney : Kidneys	Extracellular : Extracellular region | Element | Cell	Placenta | Epidermis | Adipose tissue : Fat tissue - Body fat - Adipose | Skeletal muscle : Striated muscle | Muscle	Urine | Feces : Fecal - Stool - Faecal - Faeces | Blood | Breast milk | Saliva | Cerebrospinal fluid : Csf	Cytoplasm : Cytoplasma | Lysosome | Peroxisome : Peroxisome vesicle - Peroxisomal	Organic compounds	Organoheterocyclic compounds	Purines and purine derivatives	Imidazopyrimidines	XDH; HPRT1; SLC29A2; PNP	scFEA;Compass	Extracellular | Blood | Cerebrospinal fluid
HMDB0000207	HMDB00207	C00712	Oleic acid	(9Z)-Octadecenoic acid; (Z)-Octadec-9-enoic acid; 18:1 N-9; 18:1DElta9cis; C18:1 N-9; cis-9-Octadecenoic acid; cis-Delta(9)-Octadecenoic acid; cis-Oleic acid; FA 18:1; Octadec-9-enoic acid; Oelsaeure; Oleate; (9Z)-Octadecenoate; (Z)-Octadec-9-enoate; cis-9-Octadecenoate; cis-delta(9)-Octadecenoate; cis-Δ(9)-octadecenoate; cis-Δ(9)-octadecenoic acid; cis-Oleate; Octadec-9-enoate; (9Z)-9-Octadecenoate; (9Z)-9-Octadecenoic acid; (Z)-9-Octadecanoate; (Z)-9-Octadecanoic acid; 9,10-Octadecenoate; 9,10-Octadecenoic acid; 9-(Z)-Octadecenoate; 9-(Z)-Octadecenoic acid; 9-Octadecenoate; 9-Octadecenoic acid; Century CD fatty acid; cis-Octadec-9-enoate; cis-Octadec-9-enoic acid; Distoline; Emersol 210; Emersol 211; Emersol 213; Emersol 220 white oleate; Emersol 220 white oleic acid; Emersol 221 low titer white oleate; Emersol 221 low titer white oleic acid; Emersol 233LL; Emersol 6321; Emersol 6333 NF; Emersol 7021; Glycon ro; Glycon wo; Groco 2; Groco 4; Groco 5l; Groco 6; Industrene 104; Industrene 105; Industrene 205; Industrene 206; L'acide oleique; Metaupon; Oelsauere; Oleic acid extra pure; Oleinate; Oleinic acid; Pamolyn; Pamolyn 100; Pamolyn 100 FG; Pamolyn 100 FGK; Pamolyn 125; Priolene 6900; Red oil; Tego-oleic 130; Vopcolene 27; Wecoline oo; Z-9-Octadecenoate; Z-9-Octadecenoic acid; Acid, 9-octadecenoic; Acid, oleic; 9 Octadecenoic acid; Acid, cis-9-octadecenoic; cis 9 Octadecenoic acid; FA(18:1(9Z)); FA(18:1n9)	Intestine | Liver | Skin | Prostate : Prostate gland | Pancreas	Extracellular : Extracellular region	Placenta | Skeletal muscle : Striated muscle | Adipose tissue : Fat tissue - Body fat - Adipose | Muscle | Epidermis	Saliva | Feces : Fecal - Stool - Faecal - Faeces | Urine | Blood | Cerebrospinal fluid : Csf	Membrane | Cell membrane : Cellular membrane | Cytoplasm : Cytoplasma | Adiposome : Lipid droplet - Lipid body - Lipid particle	Organic compounds	Lipids and lipid-like molecules	Fatty acids and conjugates	Fatty Acyls	FASN; BAAT; ACOT7; ACOT2; ACOT4; ACOT8; FAAH; MOGAT2; FAAH2; ACOT1; OLAH	Compass	Extracellular | Blood | Cerebrospinal fluid
HMDB0001890	HMDB01890	C06809	Acetylcysteine	(2R)-2-Acetylamino-3-sulfanylpropanoic acid; (R)-2-Acetylamino-3-mercaptopropanoic acid; (R)-Mercapturic acid; Acetilcisteina; Acetylcysteinum; L-Acetylcysteine; L-alpha-Acetamido-beta-mercaptopropionic acid; Mercapturic acid; N-Acetyl-L-(+)-cysteine; N-Acetylcysteine; NAC; (2R)-2-Acetylamino-3-sulfanylpropanoate; (2R)-2-Acetylamino-3-sulphanylpropanoate; (2R)-2-Acetylamino-3-sulphanylpropanoic acid; (R)-2-Acetylamino-3-mercaptopropanoate; (R)-Mercaptate; (R)-Mercaptic acid; L-a-Acetamido-b-mercaptopropionate; L-a-Acetamido-b-mercaptopropionic acid; L-alpha-Acetamido-beta-mercaptopropionate; L-Α-acetamido-β-mercaptopropionate; L-Α-acetamido-β-mercaptopropionic acid; Mercaptate; Mercaptic acid; Acetadote; Flumucetin; 2-acetylamino-3-mercapto-Propionate; 2-acetylamino-3-mercapto-Propionic acid; Fluimicil infantil; Fluimucetin; Fluprowit; N-Acety-L-cysteine; N-Acetyl-3-mercaptoalanine; Sodium 2-acetamido-3-mercaptopropionate; Acemuc; Acetylcysteine alcon brand; Acetylcysteine betapharm brand; Acetylcysteine bouchara brand; Acetylcysteine farmasan brand; Acetylcysteine fresenius brand; Acetylcysteine inpharzam brand; Acetylcysteine klinge brand; Acetylcysteine lindopharm brand; Acetylcysteine pharbita brand; Acetylcysteine whitehall brand; Acetylcysteine, monosodium salt; Acétylcystéine GNR; Allen and hanburys brand OF acetylcysteine; Bioiberica brand OF acetylcysteine; Bristol myers squibb brand OF acetylcysteine; Bromuc; Dey brand OF acetylcysteine sodium salt; Eurespiran; Exomuc; Fresenius brand OF acetylcysteine; GNR Pharma brand OF acetylcysteine; GNR-Pharma brand OF acetylcysteine; Genac; Génévrier brand OF acetylcysteine; Hermes brand OF acetylcysteine; Heumann brand OF acetylcysteine; Monosodium salt acetylcysteine; Mucosil; NAC al; NAC, bisolvon; Oberlin brand OF acetylcysteine; Pfleger brand OF acetylcysteine; Produpharm lappe brand OF acetylcysteine; Roberts brand OF acetylcysteine; Roche nicholas brand OF acetylcysteine; Siran; Sodium, acetylcysteine; Temmler brand OF acetylcysteine; Teva brand OF acetylcysteine; Zambon brand OF acetylcysteine; Zambon, nac; Acetylcystein atid; Acetylcystein, mentopin; Acetylcysteine azupharma brand; Acetylcysteine centrafarm brand; Acetylcysteine hermes brand; Acetylcysteine krewel brand; Acetylcysteine temmler brand; Acetylcysteine teva brand; Acetylcysteine upsa brand; Acetylcysteine zyma brand; Acetylcysteine, (DL)-isomer; Betapharm brand OF acetylcysteine; Bristol myers squibb brand OF acetylcysteine sodium salt; Disphar brand OF acetylcysteine; Farmasan brand OF acetylcysteine; Fluimucil; Jenapharm; Klinge brand OF acetylcysteine; Lindopharm brand OF acetylcysteine; MPectil; Merck brand OF acetylcysteine; Mucosol; NAC zambon; Siccoral; Trommsdorff brand OF acetylcysteine; Zyma brand OF acetylcysteine; Mentopin acetylcystein; Acetylcystein al; Acetylcystein heumann; Acetylcystein trom; Acetylcysteine aluid brand; Acetylcysteine disphar brand; Acetylcysteine GNR-pharma brand; Acetylcysteine lichtenstein brand; Acetylcysteine merck brand; Acetylcysteine oberlin brand; Acetylcysteine roberts brand; Acetylcysteine sodium; Acetylcysteine thiemann brand; Acetylcysteine zinc; Acetylcysteine, monoammonium salt; Acetyst; Acid, mercapturic; Airbron; Alcon brand OF acetylcysteine; Aluid brand OF acetylcysteine; Alveolex; Atid brand OF acetylcysteine; Azubronchin; Boehringer ingelheim brand OF acetylcysteine; Bristol-myers squibb brand OF acetylcysteine sodium salt; broncho Fips; Broncholysin; Centrafarm brand OF acetylcysteine; Codotussyl; Cystamucil; dampo Mucopect; Hoestil; Hustengetränk, optipect; Inpharzam brand OF acetylcysteine; Intra brand OF acetylcysteine; Larylin nac; Lindocetyl; m Pectil; Mucopect, dampo; Mucosolvin; Optipect hustengetränk; Sanigen, muco; Solmucol; Thiemann brand OF acetylcysteine; Whitehall brand OF acetylcysteine; Zinc, acetylcysteine; Acebraus; Durabronchal; Acetabs; Acetylcysteine atid brand; Acetylcysteine bioiberica brand; Acetylcysteine guerbet brand; Acetylcysteine génévrier brand; Acetylcysteine heumann brand; Acetylcysteine hydrochloride; Acetylcysteine intra brand; Acetylcysteine pfleger brand; Acetylcysteine trommsdorff brand; Acetylcysteine zambon brand; Acetylcysteine ac-pharma brand; Acetylcysteine, (D)-isomer; Acetylin; Azupharma brand OF acetylcysteine; Bisolvon nac; Bouchara brand OF acetylcysteine; Bristol-myers squibb brand OF acetylcysteine; broncho-Fips; BronchoFips; Broncoclar; Fabrol; Frekatuss; Guerbet brand OF acetylcysteine; Hydrochloride, acetylcysteine; Ilube; Jenacystein; Krewel brand OF acetylcysteine; Lantamed; Lichtenstein brand OF acetylcysteine; m-Pectil; Monoammonium salt acetylcysteine; Muciteran; muco Sanigen; Mucomyst; N Acetyl L cysteine; N Acetylcysteine; Pharbita brand OF acetylcysteine; UPSA brand OF acetylcysteine; Ac pharma brand OF acetylcysteine; Ac-pharma brand OF acetylcysteine; Acetylcysteine	Liver | Kidney : Kidneys	Cell	Placenta	Feces : Fecal - Stool - Faecal - Faeces | Urine | Blood	Cytoplasm : Cytoplasma | Myelin sheath : Myelin	Organic compounds	Organic acids and derivatives	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	SLCO1B1	Compass	Blood
HMDB0000108	HMDB00108	C00469	Ethanol	1-Hydroxyethane; [CH2Me(OH)]; [OEtH]; Alcohol; Alcohol etilico; Alcool ethylique; Alkohol; Aethanol; Aethylalkohol; C2H5OH; Dehydrated ethanol; Etanol; Ethyl alcohol; EtOH; Hydroxyethane; Methylcarbinol; Spiritus vini; Anhydrous ethanol; Absolute alcohol; Absolute ethanol; Absolute ethyl alcohol; Alcare hand degermer; Alcohols; Alcool etilico; Algrain; Alkoholu etylowego; Anhydrol; Anhydrous alcohol; Cologne spirit; Cologne spirits; Dehydrated alcohol; Denatured alcohol; Denatured ethanol; Desinfektol el; Diluted alcohol; Distilled spirits; Ethanol 200 proof; Ethanol solution; Ethicap; Ethyl alc; Ethyl alcohol anhydrous; Ethyl alcohol in alcoholic beverages; Ethyl alcohol usp; Ethyl hydrate; Ethyl hydroxide; Fermentation alcohol; Grain alcohol; Hinetoless; Infinity pure; Jaysol; Jaysol S; Lux; Molasses alcohol; Potato alcohol; Punctilious ethyl alcohol; Pyro; Silent spirit; Spirit; Spirits OF wine; Spirt; Synasol; Tecsol; Tecsol C; Thanol; Undenatured ethanol; Alcohol, absolute; Alcohol, ethyl; Alcohol, grain	Gonad | Intestine | Bladder | Mouth : Buccal cavity - Oral - Oral cavity | Liver | Prostate : Prostate gland | Pancreas | Heart | Brain | Lung : Lungs | Kidney : Kidneys | Endocrine gland	Extracellular : Extracellular region | Element | Cell	Adipose tissue : Fat tissue - Body fat - Adipose | Placenta | Epidermis | Skeletal muscle : Striated muscle | Muscle	Urine | Saliva | Feces : Fecal - Stool - Faecal - Faeces | Blood | Sweat | Cerebrospinal fluid : Csf	Cytoplasm : Cytoplasma | Peroxisome : Peroxisome vesicle - Peroxisomal | Myelin sheath : Myelin	Organic compounds	Organic oxygen compounds	Alcohols and polyols	Organooxygen compounds	SULT2B1; CYP4A11; UGT1A1; AKR1A1; ADH4; ADH5; ADH1B; ADH7; ADH1A; ADH6; ADH1C; CYP3A4; CYP2C9; CYP2C19; CYP2E1; CYP2B6; CYP1A1; CYP1A2; CACNA1D; CACNA1C; SLC29A1; VCAM1; GRIA1; HTR3A; SLC29A2; CHRNA10; CHRNA9; CACNA1S; CACNB1; CACNG1; CACNG2; GRIA2; GRIN3A; GABRA1; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; GABRB1; GABRB2; GABRB3; GABRD; GABRE; GABRG1; GABRG3; GABRP; GABRQ; GLRA1; GLRA2; KCNJ3; KCNJ5; KCNJ6; KCNJ9; CHRNA2; HTR3B; CHRNB2; CHRNA5; CHRNB4; CHRNA3; CHRNA7; GRIA3; CHRNA4; GRIA4; CHRNB3; CHRNA6; HTR3D; HTR3C; HTR3E	Compass	Extracellular | Blood | Cerebrospinal fluid
HMDB0003345	HMDB03345	C00267	alpha-D-Glucose	alpha-D-GLC; alpha-Dextrose; a-D-GLC; Α-D-GLC; a-Dextrose; Α-dextrose; a-D-Glucose; Α-D-glucose; a-D-Glucopyranose; a-Glucose; alpha-D-Glucopyranose; alpha-delta-Glucopyranose; alpha-delta-Glucose; alpha-Glucose; Hexopyranose; Anhydrous dextrose; D Glucose; D-Glucose; Dextrose; Dextrose, anhydrous; Glucose; Glucose monohydrate; Glucose, (DL)-isomer; Glucose, (L)-isomer; Glucose, (alpha-D)-isomer; Glucose, (beta-D)-isomer; L Glucose; L-Glucose; Monohydrate, glucose; 1,3-alpha-D-Glucan; alpha-1,3-Glucan; alpha-D-Glucopyranoside	Intestine		Epidermis	Feces : Fecal - Stool - Faecal - Faeces | Saliva	Cytoplasm : Cytoplasma	Organic compounds	Organic oxygen compounds	Carbohydrates and carbohydrate conjugates	Organooxygen compounds	AKR1B1; ENPP1; GCK; HK3; HK2; HK1; SI; LCT; AGL; ADPGK; TREH; G6PC; GLB1; GBA; GAA; AMY1A; GCKR; GBA3; MGAM; G6PC2; GANC; GALM; AKR1B10; HKDC1	scFEA	Other
