metabolite	HMDB_ID	reaction	gene	direction
(+)-Limonene	HMDB0003375	(+)-Limonene + NADPH + Oxygen → (+)-trans-Carveol + NADP + Water	CYP2C9[Unknown]; CYP2C19[Unknown]	substrate
(+)-Limonene	HMDB0003375	(+)-Limonene + NADPH + Oxygen → (-)-trans-Carveol + NADP + Water	CYP2C9[Unknown]; CYP2C19[Unknown]	substrate
(+)-Limonene	HMDB0003375	(+)-Limonene + NADPH + Oxygen → (S)-p-Mentha-1,8-dien-7-ol + NADP + Water	CYP2C9[Unknown]; CYP2C19[Unknown]	substrate
(-)-trans-Carveol	HMDB0003450	(+)-Limonene + NADPH + Oxygen → (-)-trans-Carveol + NADP + Water	CYP2C9[Unknown]; CYP2C19[Unknown]	product
(2E)-Decenoyl-CoA	HMDB0003948	(S)-Hydroxydecanoyl-CoA → (2E)-Decenoyl-CoA + Water	EHHADH[Unknown]; ECHS1[Enzyme]; HADHA[Unknown]	product
(2E)-Decenoyl-CoA	HMDB0003948	Decanoyl-CoA (n-C10:0CoA) + FAD → (2E)-Decenoyl-CoA + FADH	ACADL[Unknown]; ACADM[Unknown]; ACOX1[Unknown]; ACOX3[Unknown]	product
(2E)-Decenoyl-CoA	HMDB0003948	Decanoyl-CoA (n-C10:0CoA) + NADP → (2E)-Decenoyl-CoA + NADPH + Hydrogen Ion	MECR[Unknown]	product
(2E)-Dodecenoyl-CoA	HMDB0003712	(3Z)-dodec-3-enoyl-CoA → (2E)-Dodecenoyl-CoA	EHHADH[Unknown]; ECI1[Enzyme]; ECI2[Enzyme]	product
(2E)-Dodecenoyl-CoA	HMDB0003712	(S)-3-Hydroxydodecanoyl-CoA → (2E)-Dodecenoyl-CoA + Water	EHHADH[Unknown]; ECHS1[Enzyme]; HADHA[Unknown]	product
(2E)-Dodecenoyl-CoA	HMDB0003712	Lauroyl-CoA + FAD → (2E)-Dodecenoyl-CoA + FADH	ACADL[Unknown]; ACADM[Unknown]; ACOX1[Unknown]; ACOX3[Unknown]	product
(2E)-Dodecenoyl-CoA	HMDB0003712	Lauroyl-CoA + NADP → (2E)-Dodecenoyl-CoA + NADPH + Hydrogen Ion	MECR[Unknown]	product
(2E)-Hexadecenoyl-CoA	HMDB0003945	(S)-3-Hydroxyhexadecanoyl-CoA → (2E)-Hexadecenoyl-CoA + Water	EHHADH[Unknown]; ECHS1[Enzyme]; HADHA[Unknown]	product
(2E)-Hexadecenoyl-CoA	HMDB0003945	hexadecanoyl-CoA + FAD → (2E)-Hexadecenoyl-CoA + FADH	ACADL[Unknown]; ACADM[Unknown]; ACOX1[Unknown]; ACOX3[Unknown]; ACADVL[Unknown]	product
(2E)-Hexadecenoyl-CoA	HMDB0003945	hexadecanoyl-CoA + NADP → (2E)-Hexadecenoyl-CoA + NADPH + Hydrogen Ion	MECR[Unknown]	product
(2E)-Octenoyl-CoA	HMDB0003949	(S)-Hydroxyoctanoyl-CoA → (2E)-Octenoyl-CoA + Water	EHHADH[Unknown]; ECHS1[Enzyme]; HADHA[Unknown]	product
(2E)-Octenoyl-CoA	HMDB0003949	Octanoyl-CoA + FAD → (2E)-Octenoyl-CoA + FADH	ACADL[Unknown]; ACADM[Unknown]; ACOX1[Unknown]; ACOX3[Unknown]	product
(2E)-Octenoyl-CoA	HMDB0003949	Octanoyl-CoA + NADP → (2E)-Octenoyl-CoA + NADPH + Hydrogen Ion	MECR[Unknown]	product
(R)-5-Diphosphomevalonic acid	HMDB0001090	Adenosine triphosphate + (R)-5-Diphosphomevalonic acid → ADP + Phosphate + Isopentenyl pyrophosphate + CO(2)	MVD[Enzyme]	substrate
(R)-5-Diphosphomevalonic acid	HMDB0001090	Adenosine triphosphate + (R)-5-Diphosphomevalonic acid → ADP + Phosphate + Isopentenyl pyrophosphate + Carbon dioxide	MVD[Enzyme]	substrate
(R)-5-Diphosphomevalonic acid	HMDB0001090	Adenosine triphosphate + Mevalonic acid-5P → ADP + (R)-5-Diphosphomevalonic acid	PMVK[Enzyme]	product
(R)-beta-Aminoisobutyric acid	HMDB0002299	(R)-beta-Aminoisobutyric acid + Pyruvic acid → 2-Methyl-3-oxopropanoic acid + L-Alanine	AGXT2[Enzyme]	substrate
(S)-2,3-Epoxysqualene	HMDB0001188	(S)-2,3-Epoxysqualene → Lanosterol	LSS[Enzyme]	substrate
(S)-2,3-Epoxysqualene	HMDB0001188	Squalene + Oxygen + NADPH + Hydrogen Ion → (S)-2,3-Epoxysqualene + NADP + Water	SQLE[Unknown]	product
(S)-2,3-Epoxysqualene	HMDB0001188	Squalene + Reduced acceptor + Oxygen → (S)-2,3-Epoxysqualene + Acceptor + Water	SQLE[Unknown]	product
(S)-3-Hydroxydodecanoyl-CoA	HMDB0003936	(S)-3-Hydroxydodecanoyl-CoA + NAD → 3-Oxododecanoyl-CoA + NADH + Hydrogen Ion	EHHADH[Unknown]; HADH[Unknown]; HADHA[Unknown]	substrate
(S)-3-Hydroxydodecanoyl-CoA	HMDB0003936	(S)-3-Hydroxydodecanoyl-CoA → (2E)-Dodecenoyl-CoA + Water	EHHADH[Unknown]; ECHS1[Enzyme]; HADHA[Unknown]	substrate
(S)-3-Hydroxyhexadecanoyl-CoA	HMDB0003932	(S)-3-Hydroxyhexadecanoyl-CoA + NAD → 3-Oxohexadecanoyl-CoA + NADH + Hydrogen Ion	EHHADH[Unknown]; HADH[Unknown]; HADHA[Unknown]	substrate
(S)-3-Hydroxyhexadecanoyl-CoA	HMDB0003932	(S)-3-Hydroxyhexadecanoyl-CoA → (2E)-Hexadecenoyl-CoA + Water	EHHADH[Unknown]; ECHS1[Enzyme]; HADHA[Unknown]	substrate
(S)-3-Hydroxyisobutyric acid	HMDB0000023	(S)-3-Hydroxyisobutyric acid + NAD → (S)-Methylmalonic acid semialdehyde + NADH + Hydrogen Ion	EHHADH[Unknown]; HADH[Unknown]; HIBADH[Unknown]	substrate
(S)-3-Hydroxyisobutyric acid	HMDB0000023	(S)-3-Hydroxyisobutyric acid + NAD → 2-Methyl-3-oxopropanoic acid + NADH	HIBADH[Unknown]	substrate
