metabolite	HMDB_ID	reaction	gene	direction
(+)-Limonene	HMDB0003375	(+)-Limonene + NADPH + Oxygen → (+)-trans-Carveol + NADP + Water	Cyp2c54[Unknown]; Cyp2c38[Unknown]; Cyp2c50[Unknown]; Cyp2c29[Unknown]; Cyp2c37[Unknown]; Cyp2c39[Unknown]; Cyp2c68[Unknown]; Cyp2c69[Unknown]; Cyp2c40[Unknown]; Cyp2c67[Unknown]; Cyp2c54[Unknown]; Cyp2c38[Unknown]; Cyp2c50[Unknown]; Cyp2c29[Unknown]; Cyp2c66[Unknown]; Cyp2c37[Unknown]; Cyp2c65[Unknown]; Cyp2c39[Unknown]; Cyp2c68[Unknown]; Cyp2c69[Unknown]; Cyp2c40[Unknown]; Cyp2c67[Unknown]	substrate
(+)-Limonene	HMDB0003375	(+)-Limonene + NADPH + Oxygen → (-)-trans-Carveol + NADP + Water	Cyp2c54[Unknown]; Cyp2c38[Unknown]; Cyp2c50[Unknown]; Cyp2c29[Unknown]; Cyp2c37[Unknown]; Cyp2c39[Unknown]; Cyp2c68[Unknown]; Cyp2c69[Unknown]; Cyp2c40[Unknown]; Cyp2c67[Unknown]; Cyp2c54[Unknown]; Cyp2c38[Unknown]; Cyp2c50[Unknown]; Cyp2c29[Unknown]; Cyp2c66[Unknown]; Cyp2c37[Unknown]; Cyp2c65[Unknown]; Cyp2c39[Unknown]; Cyp2c68[Unknown]; Cyp2c69[Unknown]; Cyp2c40[Unknown]; Cyp2c67[Unknown]	substrate
(+)-Limonene	HMDB0003375	(+)-Limonene + NADPH + Oxygen → (S)-p-Mentha-1,8-dien-7-ol + NADP + Water	Cyp2c54[Unknown]; Cyp2c38[Unknown]; Cyp2c50[Unknown]; Cyp2c29[Unknown]; Cyp2c37[Unknown]; Cyp2c39[Unknown]; Cyp2c68[Unknown]; Cyp2c69[Unknown]; Cyp2c40[Unknown]; Cyp2c67[Unknown]; Cyp2c54[Unknown]; Cyp2c38[Unknown]; Cyp2c50[Unknown]; Cyp2c29[Unknown]; Cyp2c66[Unknown]; Cyp2c37[Unknown]; Cyp2c65[Unknown]; Cyp2c39[Unknown]; Cyp2c68[Unknown]; Cyp2c69[Unknown]; Cyp2c40[Unknown]; Cyp2c67[Unknown]	substrate
(-)-trans-Carveol	HMDB0003450	(+)-Limonene + NADPH + Oxygen → (-)-trans-Carveol + NADP + Water	Cyp2c54[Unknown]; Cyp2c38[Unknown]; Cyp2c50[Unknown]; Cyp2c29[Unknown]; Cyp2c37[Unknown]; Cyp2c39[Unknown]; Cyp2c68[Unknown]; Cyp2c69[Unknown]; Cyp2c40[Unknown]; Cyp2c67[Unknown]; Cyp2c54[Unknown]; Cyp2c38[Unknown]; Cyp2c50[Unknown]; Cyp2c29[Unknown]; Cyp2c66[Unknown]; Cyp2c37[Unknown]; Cyp2c65[Unknown]; Cyp2c39[Unknown]; Cyp2c68[Unknown]; Cyp2c69[Unknown]; Cyp2c40[Unknown]; Cyp2c67[Unknown]	product
(2E)-Decenoyl-CoA	HMDB0003948	(S)-Hydroxydecanoyl-CoA → (2E)-Decenoyl-CoA + Water	Tuba8[Unknown]; Ehhadh[Unknown]; Echs1[Enzyme]; Hadha[Unknown]	product
(2E)-Decenoyl-CoA	HMDB0003948	Decanoyl-CoA (n-C10:0CoA) + FAD → (2E)-Decenoyl-CoA + FADH	Acadl[Unknown]; Acadm[Unknown]; Acox1[Unknown]; Acox3[Unknown]	product
(2E)-Decenoyl-CoA	HMDB0003948	Decanoyl-CoA (n-C10:0CoA) + NADP → (2E)-Decenoyl-CoA + NADPH + Hydrogen Ion	Mecr[Unknown]	product
(2E)-Dodecenoyl-CoA	HMDB0003712	(3Z)-dodec-3-enoyl-CoA → (2E)-Dodecenoyl-CoA	Tuba8[Unknown]; Ehhadh[Unknown]; Eci1[Enzyme]; Eci2[Enzyme]; Eci3[Enzyme]	product
(2E)-Dodecenoyl-CoA	HMDB0003712	(S)-3-Hydroxydodecanoyl-CoA → (2E)-Dodecenoyl-CoA + Water	Tuba8[Unknown]; Ehhadh[Unknown]; Echs1[Enzyme]; Hadha[Unknown]	product
(2E)-Dodecenoyl-CoA	HMDB0003712	Lauroyl-CoA + FAD → (2E)-Dodecenoyl-CoA + FADH	Acadl[Unknown]; Acadm[Unknown]; Acox1[Unknown]; Acox3[Unknown]	product
