mouse_gene,human_gene
Magi2,MAGI2
Slc5a8,SLC5A8
Mettl24,METTL24
Cd48,CD48
Klf8,KLF8
Gdnf,GDNF
Rrm1,RRM1
Hoxd12,HOXD12
Pax2,PAX2
Runx3,RUNX3
Pgr,PGR
Per3,PER3
Pim2,PIM2
Hoxc5,HOXC5
Fbxw4,FBXW4
Arnt2,ARNT2
Hoxb8,HOXB8
Npy4r,NPY4R
Evx2,EVX2
Tbx4,TBX4
Pycard,PYCARD
Isl2,ISL2
Hoxa9,HOXA9
Gata6,GATA6
Tcp1,TCP1
Atoh1,ATOH1
Ins1,INS
Ins1,INS-IGF2
Ins2,INS
Ins2,INS-IGF2
Hoxb7,HOXB7
Lpl,LPL
Hoxc6,HOXC6
Rag1,RAG1
Neurod6,NEUROD6
Cd81,CD81
Mid1ip1,MID1IP1
Shh,SHH
Olfr1215,OR4C15
Olfr1219,OR4C15
Olfr1223,OR4C15
Olfr1249,OR4A16
Olfr1228,OR4C15
Olfr1214,OR4C15
Olfr464,OR4D1
Olfr1218,OR4C15
Olfr1217,OR4C15
Mapk8,MAPK8
Hoxc13,HOXC13
Raf1,RAF1
Zic1,ZIC1
Fzd7,FZD7
Meis2,MEIS2
Aldh1a2,ALDH1A2
Mpp4,MPP4
Ntrk1,NTRK1
Tap2,TAP2
Bco1,BCO1
Nodal,NODAL
Foxg1,FOXG1
Zfp703,ZNF703
Notch2,NOTCH2
Zp1,ZP1
Cldn3,CLDN3
Cyp19a1,CYP19A1
Fn1,FN1
Nkx2-3,NKX2-3
Pou5f2,POU5F2
Pou5f1,POU5F1
Pou5f1,POU5F1B
Gjc1,GJC1
Chrna1,CHRNA1
Dmrt2,DMRT2
Ppm1a,PPM1A
Hoxc4,HOXC4
Sox11,SOX11
Nkx2-4,NKX2-4
Cpeb1,CPEB1
Olfr402,OR3A1
Olfr57,OR7A10
Olfr57,OR7A17
Olfr1356,OR7C1
Olfr1356,OR7C2
Olfr430,OR6N2
Olfr3,OR1J1
Olfr1351,OR7A10
Olfr1351,OR7A17
Olfr1250,OR4A16
Olfr1263,OR4C45
Olfr77,OR7D4
Olfr43,OR1A1
Olfr43,OR1A2
Olfr101,OR12D1
Olfr101,OR12D2
Olfr846,OR7G2
Olfr1242,OR4A16
Olfr868,OR7E24
Olfr1309,OR4F15
Olfr830,OR7G2
Olfr853,OR7G2
Olfr1269,OR4X2
Olfr1265,OR4X2
Olfr984,OR4D5
Olfr984,OR8D4
Olfr866,OR7E24
Olfr1256,OR4A47
Olfr1256,OR4A4P
Olfr401,OR3A1
Olfr355,OR1L8
Olfr1234,OR4A15
Olfr1353,OR7A10
Olfr1252,OR4A16
Olfr1261,OR4C45
Olfr1305,OR4F13P
Olfr843,OR7G1
Olfr843,OR7G2
Olfr849,OR7G2
Olfr1247,OR4A16
Olfr1247,OR4A8
Olfr1366,OR1F12
Olfr1251,OR4A16
Olfr1251,OR4A5
Olfr1251,OR4A8
Olfr1209,OR4C16
Olfr854,OR7G1
Olfr854,OR7G2
Olfr103,OR12D1
Olfr103,OR12D2
Olfr1243,OR4A16
Olfr1260,OR4C5
Olfr1248,OR4A16
Olfr1254,OR4A16
Olfr1254,OR4A8
Olfr845,OR7G1
Olfr845,OR7G2
Olfr832,OR7G3
Olfr1423,OR4D11
Olfr733,OR4N2
